,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,all_star
8686,Kevon Looney,GSW,20,205.74,99.79024,UCLA,USA,2015,1,30,5,1.8,2,0,-41.8,0.16,0.375,0.154,0.643,0,2015-16,
8687,Lou Williams,LAL,29,185.42,79.3786,None,USA,2005,2,45,67,15.3,2.5,2.5,-10.8,0.017,0.08,0.227,0.584,0.149,2015-16,
8688,Lou Amundson,NYK,33,205.74,99.79024,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,29,1.8,1.7,0.4,-9.7,0.115,0.137,0.175,0.401,0.107,2015-16,
8689,Lorenzo Brown,DET,25,195.58,85.728888,North Carolina State,USA,2013,2,52,8,2.5,0.9,1.4,-29.1,0,0.149,0.261,0.374,0.306,2015-16,
8690,Leandro Barbosa,GSW,33,190.5,87.996848,None,Brazil,2003,1,28,68,6.4,1.7,1.2,3.1,0.028,0.09,0.179,0.545,0.112,2015-16,
8691,LeBron James,CLE,31,203.2,113.398,None,USA,2003,1,1,76,25.3,7.4,6.8,11,0.047,0.187,0.311,0.588,0.339,2015-16,T
8692,Lavoy Allen,IND,27,205.74,115.66596,Temple,USA,2011,2,50,79,5.4,5.4,1,6.9,0.114,0.18,0.131,0.532,0.07,2015-16,
8693,Larry Nance Jr.,LAL,23,205.74,104.32616,Wyoming,USA,2015,1,27,63,5.5,5,0.7,-5.2,0.086,0.184,0.126,0.544,0.055,2015-16,
8694,Langston Galloway,NYK,24,187.96,90.7184,Saint Joseph's,USA,Undrafted,Undrafted,Undrafted,82,7.6,3.5,2.5,-2.9,0.023,0.131,0.155,0.49,0.161,2015-16,
8695,Lance Thomas,NYK,28,203.2,106.59412,Duke,USA,Undrafted,Undrafted,Undrafted,59,8.2,2.2,0.9,-0.1,0.03,0.079,0.172,0.557,0.066,2015-16,
8696,Lance Stephenson,MEM,25,195.58,104.32616,Cincinnati,USA,2010,2,40,69,8.3,3.2,1.9,-2.4,0.032,0.152,0.199,0.548,0.152,2015-16,
8697,Lamar Patterson,ATL,24,195.58,102.0582,Pittsburgh,USA,2014,2,48,35,2.4,1.4,1.1,3.1,0.012,0.141,0.126,0.468,0.134,2015-16,
8698,LaMarcus Aldridge,SAS,30,210.82,108.86208,Texas,USA,2006,1,2,74,18,8.5,1.5,12,0.091,0.222,0.26,0.565,0.081,2015-16,T
8699,Kevin Seraphin,NYK,26,208.28,126.098576,Le Moyne,France,2010,1,17,48,3.9,2.6,1,-10.4,0.065,0.194,0.223,0.435,0.157,2015-16,
8700,Kyrie Irving,CLE,24,190.5,87.543256,Duke,Australia,2011,1,1,53,19.6,3,4.7,5.7,0.03,0.078,0.293,0.54,0.253,2015-16,
8701,Kyle O'Quinn,NYK,26,208.28,113.398,Norfolk State,USA,2012,2,49,65,4.8,3.8,1.1,-4.3,0.114,0.237,0.212,0.52,0.161,2015-16,
8702,Kyle Lowry,TOR,30,182.88,92.98636,Villanova,USA,2006,1,24,77,21.2,4.7,6.4,6,0.023,0.124,0.26,0.578,0.293,2015-16,T
8703,Kyle Korver,ATL,35,200.66,96.161504,Creighton,USA,2003,2,51,80,9.2,3.3,2.1,6.3,0.006,0.108,0.135,0.577,0.095,2015-16,
8704,Kyle Anderson,SAS,22,205.74,104.32616,UCLA,USA,2014,1,30,78,4.5,3.1,1.6,10,0.024,0.201,0.147,0.528,0.14,2015-16,
8705,Kristaps Porzingis,NYK,20,220.98,108.86208,None,Latvia,2015,1,4,72,14.3,7.3,1.3,-0.2,0.071,0.206,0.245,0.518,0.076,2015-16,
8706,Kris Humphries,ATL,31,205.74,106.59412,Minnesota,USA,2004,1,14,53,6.5,4.1,0.7,-5.2,0.073,0.216,0.192,0.517,0.068,2015-16,
8707,Kostas Papanikolaou,DEN,25,203.2,106.59412,None,Greece,2012,2,48,26,2.6,1.5,0.6,-0.2,0.032,0.125,0.145,0.464,0.077,2015-16,
8708,Kosta Koufos,SAC,27,213.36,120.20188,Ohio State,USA,2008,1,23,78,6.8,5.4,0.4,-7.1,0.122,0.19,0.155,0.54,0.034,2015-16,
8709,Kobe Bryant,LAL,37,198.12,96.161504,None,USA,1996,1,13,66,17.6,3.7,2.8,-15.8,0.023,0.123,0.319,0.469,0.183,2015-16,T
8710,Klay Thompson,GSW,26,200.66,97.52228,Washington State,USA,2011,1,11,80,22.1,3.8,2.1,15.7,0.015,0.1,0.264,0.597,0.094,2015-16,T
8711,Kirk Hinrich,ATL,35,193.04,86.18248,Kansas,USA,2003,1,7,46,3,1.5,1.6,1.5,0.014,0.107,0.117,0.504,0.173,2015-16,
8712,Khris Middleton,MIL,24,203.2,106.140528,Texas A&M,USA,2012,2,39,79,18.2,3.8,4.2,-0.1,0.018,0.103,0.229,0.56,0.183,2015-16,
8713,Kyle Singler,OKC,28,203.2,103.418976,Duke,USA,2011,2,33,68,3.4,2.1,0.4,-0.7,0.056,0.099,0.117,0.481,0.035,2015-16,
